epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,4295.28,1.54069,0.88313,1.00029,0.91797,0.90644,0.94551,0.54352,1.43463,0.73211,0.99572,0.00108947,0.00108947,0.00108947
14,4629.42,1.53201,0.86188,0.99831,0.94905,0.89326,0.94505,0.55772,1.40085,0.71133,0.97976,0.00106118,0.00106118,0.00106118
15,4954.09,1.52169,0.83834,0.99455,0.93542,0.90902,0.94986,0.55682,1.4173,0.70827,0.98841,0.00103288,0.00103288,0.00103288
16,5277.56,1.50167,0.82114,0.98747,0.94329,0.90058,0.95247,0.56182,1.40447,0.69116,0.984,0.00100459,0.00100459,0.00100459
17,5597.66,1.50334,0.80465,0.99,0.93249,0.92595,0.95436,0.56111,1.40324,0.68488,0.98158,0.000976293,0.000976293,0.000976293
18,5915.89,1.47023,0.79187,0.9834,0.94521,0.91852,0.9584,0.56927,1.40452,0.68072,0.98299,0.000947999,0.000947999,0.000947999
19,6225.84,1.48452,0.78877,0.97892,0.94183,0.921,0.95363,0.56237,1.41118,0.666,0.98446,0.000919704,0.000919704,0.000919704
20,6541.13,1.47123,0.76617,0.98066,0.94751,0.92122,0.9623,0.56996,1.39874,0.65962,0.9818,0.00089141,0.00089141,0.00089141
21,6863.8,1.44678,0.73903,0.97411,0.94927,0.91494,0.95864,0.57223,1.39448,0.65816,0.98277,0.000863116,0.000863116,0.000863116
22,7196.05,1.44825,0.72906,0.97269,0.94011,0.93044,0.95928,0.57475,1.38258,0.6527,0.98069,0.000834822,0.000834822,0.000834822
23,7515.54,1.43544,0.72193,0.97347,0.95448,0.91942,0.96046,0.57481,1.3884,0.63906,0.97825,0.000806528,0.000806528,0.000806528
24,7832.99,1.42007,0.70827,0.96493,0.94762,0.92914,0.95959,0.57214,1.40242,0.6372,0.98515,0.000778233,0.000778233,0.000778233
25,8152.06,1.41054,0.6991,0.96408,0.95069,0.92692,0.96026,0.57115,1.39801,0.63776,0.98351,0.000749939,0.000749939,0.000749939
26,8470.98,1.40589,0.69037,0.96169,0.94488,0.92931,0.95712,0.57355,1.3963,0.6377,0.98295,0.000721645,0.000721645,0.000721645
27,8789.51,1.39161,0.67398,0.95745,0.94893,0.92986,0.95802,0.57492,1.38239,0.62623,0.97775,0.000693351,0.000693351,0.000693351
28,9088.23,1.39324,0.66786,0.95882,0.94886,0.92049,0.95391,0.57205,1.39677,0.63297,0.98017,0.000665057,0.000665057,0.000665057
29,9377.05,1.3708,0.65408,0.95247,0.94275,0.93081,0.95407,0.57605,1.38336,0.62441,0.97697,0.000636762,0.000636762,0.000636762
30,9666.29,1.36281,0.65188,0.95045,0.94527,0.92988,0.95812,0.56986,1.39882,0.62433,0.98503,0.000608468,0.000608468,0.000608468
31,9956.01,1.3483,0.63621,0.94627,0.94226,0.92796,0.95608,0.57124,1.3961,0.62049,0.98438,0.000580174,0.000580174,0.000580174
32,10245.3,1.33677,0.62354,0.94028,0.95472,0.92101,0.95394,0.57188,1.3963,0.62917,0.98176,0.00055188,0.00055188,0.00055188
33,10535.6,1.32577,0.61376,0.9421,0.95128,0.90941,0.95413,0.56935,1.3991,0.6286,0.98374,0.000523586,0.000523586,0.000523586
34,10825.9,1.3223,0.60227,0.9397,0.94472,0.92521,0.956,0.57138,1.40045,0.63241,0.98772,0.000495291,0.000495291,0.000495291
35,11116.1,1.3049,0.60056,0.93983,0.94228,0.92866,0.95421,0.56928,1.40175,0.62136,0.98371,0.000466997,0.000466997,0.000466997
36,11406.6,1.28687,0.58537,0.93084,0.94514,0.92937,0.95386,0.56804,1.40117,0.61976,0.98568,0.000438703,0.000438703,0.000438703
37,11696.6,1.27459,0.58309,0.92837,0.94633,0.93026,0.95363,0.5736,1.39971,0.6121,0.98258,0.000410409,0.000410409,0.000410409
38,11987.2,1.26493,0.57408,0.92389,0.95578,0.92783,0.95567,0.574,1.40239,0.60554,0.98415,0.000382115,0.000382115,0.000382115
39,12277.6,1.26115,0.57118,0.92551,0.93962,0.93878,0.95227,0.56811,1.40907,0.61453,0.98744,0.00035382,0.00035382,0.00035382
40,12567.3,1.24071,0.55976,0.92006,0.94137,0.92788,0.95075,0.56268,1.4149,0.62021,0.98894,0.000325526,0.000325526,0.000325526
41,12880.8,1.23024,0.52968,0.94373,0.95083,0.92161,0.95326,0.56215,1.42099,0.62412,0.99135,0.000297232,0.000297232,0.000297232
